type;code;name;
Character(36,0);Character(11,0);Character(60,0);
NOT NULL;NOT NULL;NOT NULL;
Справочник.ПроизводителиНоменклатуры;00000003234;AMG;
Справочник.ПроизводителиНоменклатуры;00000003234;AMG;
Справочник.ПроизводителиНоменклатуры;00000003143;AMIWA;
Справочник.ПроизводителиНоменклатуры;00000003684;AMP HYDRAULIC;
Справочник.ПроизводителиНоменклатуры;00000003684;AMP HYDRAULIC;
Справочник.ПроизводителиНоменклатуры;00000003684;AMP HYDRAULIC;
Справочник.ПроизводителиНоменклатуры;00000000845;Ampro;
Справочник.ПроизводителиНоменклатуры;00000000845;Ampro;
Справочник.ПроизводителиНоменклатуры;00000002861;AMZ;
Справочник.ПроизводителиНоменклатуры;00000002861;AMZ;
Справочник.ПроизводителиНоменклатуры;00000002585;ANDAC;
Справочник.ПроизводителиНоменклатуры;00000002585;ANDAC;
Справочник.ПроизводителиНоменклатуры;00000002585;ANDAC;
Справочник.ПроизводителиНоменклатуры;00000001027;ANDRMAX;
Справочник.ПроизводителиНоменклатуры;00000001027;ANDRMAX;
Справочник.ПроизводителиНоменклатуры;00000002069;Andtech;
Справочник.ПроизводителиНоменклатуры;00000002069;Andtech;
Справочник.ПроизводителиНоменклатуры;00000002069;Andtech;
Справочник.ПроизводителиНоменклатуры;00000002117;ANSEL;
Справочник.ПроизводителиНоменклатуры;00000002117;ANSEL;
Справочник.ПроизводителиНоменклатуры;00000001012;Antonio Masiero;
Справочник.ПроизводителиНоменклатуры;00000001012;Antonio Masiero;
Справочник.ПроизводителиНоменклатуры;00000001012;Antonio Masiero;
Справочник.ПроизводителиНоменклатуры;00000003550;ANYU;
Справочник.ПроизводителиНоменклатуры;00000003550;ANYU;
Справочник.ПроизводителиНоменклатуры;00000003691;AOSS;
Справочник.ПроизводителиНоменклатуры;00000003691;AOSS;
Справочник.ПроизводителиНоменклатуры;00000003691;AOSS;
Справочник.ПроизводителиНоменклатуры;00000003691;AOSS;
Справочник.ПроизводителиНоменклатуры;00000001734;AP Automotive Prod.;
Справочник.ПроизводителиНоменклатуры;00000001734;AP Automotive Prod.;
Справочник.ПроизводителиНоменклатуры;00000001734;AP Automotive Prod.;
Справочник.ПроизводителиНоменклатуры;00000001811;APEC braking;
Справочник.ПроизводителиНоменклатуры;00000001811;APEC braking;
Справочник.ПроизводителиНоменклатуры;00000001811;APEC braking;
Справочник.ПроизводителиНоменклатуры;00000001028;Apecs;
Справочник.ПроизводителиНоменклатуры;00000001028;Apecs;
Справочник.ПроизводителиНоменклатуры;00000002989;APPLUS;
Справочник.ПроизводителиНоменклатуры;00000002989;APPLUS;
Справочник.ПроизводителиНоменклатуры;00000001338;AQUAPLUS;
Справочник.ПроизводителиНоменклатуры;00000001338;AQUAPLUS;
Справочник.ПроизводителиНоменклатуры;00000002142;ARCEK;
Справочник.ПроизводителиНоменклатуры;00000002142;ARCEK;
Справочник.ПроизводителиНоменклатуры;00000002142;ARCEK;
Справочник.ПроизводителиНоменклатуры;00000002142;ARCEK;
Справочник.ПроизводителиНоменклатуры;00000001733;ARCTIC;
Справочник.ПроизводителиНоменклатуры;00000001733;ARCTIC;
Справочник.ПроизводителиНоменклатуры;00000003602;ARD;
Справочник.ПроизводителиНоменклатуры;00000003602;ARD;
Справочник.ПроизводителиНоменклатуры;00000003602;ARD;
Справочник.ПроизводителиНоменклатуры;00000003372;AREOL;
Справочник.ПроизводителиНоменклатуры;00000003372;AREOL;
Справочник.ПроизводителиНоменклатуры;00000003112;AREON;
Справочник.ПроизводителиНоменклатуры;00000003112;AREON;
Справочник.ПроизводителиНоменклатуры;00000003112;AREON;
Справочник.ПроизводителиНоменклатуры;00000003610;ARGO;
Справочник.ПроизводителиНоменклатуры;00000003610;ARGO;
Справочник.ПроизводителиНоменклатуры;00000003610;ARGO;
Справочник.ПроизводителиНоменклатуры;00000001029;Ariston;
Справочник.ПроизводителиНоменклатуры;00000001029;Ariston;
Справочник.ПроизводителиНоменклатуры;00000000931;ARM;
Справочник.ПроизводителиНоменклатуры;00000000931;ARM;
Справочник.ПроизводителиНоменклатуры;00000001758;ARMAFILT;
Справочник.ПроизводителиНоменклатуры;00000001758;ARMAFILT;
Справочник.ПроизводителиНоменклатуры;00000001758;ARMAFILT;
Справочник.ПроизводителиНоменклатуры;00000001030;Armature;
Справочник.ПроизводителиНоменклатуры;00000001030;Armature;
Справочник.ПроизводителиНоменклатуры;00000003129;ARMER;
Справочник.ПроизводителиНоменклатуры;00000003129;ARMER;
Справочник.ПроизводителиНоменклатуры;00000001031;Armour;
Справочник.ПроизводителиНоменклатуры;00000001031;Armour;
Справочник.ПроизводителиНоменклатуры;00000001966;ARMSTRONG;
Справочник.ПроизводителиНоменклатуры;00000001966;ARMSTRONG;
Справочник.ПроизводителиНоменклатуры;00000001966;ARMSTRONG;
Справочник.ПроизводителиНоменклатуры;00000003412;ARNEZI;
Справочник.ПроизводителиНоменклатуры;00000003412;ARNEZI;
Справочник.ПроизводителиНоменклатуры;00000003113;ARNEZI;
Справочник.ПроизводителиНоменклатуры;00000003264;Aroma Black;
Справочник.ПроизводителиНоменклатуры;00000003264;Aroma Black;
Справочник.ПроизводителиНоменклатуры;00000003506;ARP;
Справочник.ПроизводителиНоменклатуры;00000003506;ARP;
Справочник.ПроизводителиНоменклатуры;00000001227;Arsauto;
Справочник.ПроизводителиНоменклатуры;00000001227;Arsauto;
Справочник.ПроизводителиНоменклатуры;00000003559;ARSKAR;
Справочник.ПроизводителиНоменклатуры;00000003559;ARSKAR;
Справочник.ПроизводителиНоменклатуры;00000002798;ARTEC;
Справочник.ПроизводителиНоменклатуры;00000002798;ARTEC;
Справочник.ПроизводителиНоменклатуры;00000002896;ARVIN;
Справочник.ПроизводителиНоменклатуры;00000002896;ARVIN;
Справочник.ПроизводителиНоменклатуры;00000002896;ARVIN;
Справочник.ПроизводителиНоменклатуры;00000000600;Arvin Meritor;
Справочник.ПроизводителиНоменклатуры;00000000600;Arvin Meritor;
Справочник.ПроизводителиНоменклатуры;00000000600;Arvin Meritor;
Справочник.ПроизводителиНоменклатуры;00000000600;Arvin Meritor;
Справочник.ПроизводителиНоменклатуры;00000002396;AS;
Справочник.ПроизводителиНоменклатуры;00000002396;AS;
Справочник.ПроизводителиНоменклатуры;00000002111;Asakashi;
Справочник.ПроизводителиНоменклатуры;00000002111;Asakashi;
Справочник.ПроизводителиНоменклатуры;00000002368;ASAM;
Справочник.ПроизводителиНоменклатуры;00000002368;ASAM;
Справочник.ПроизводителиНоменклатуры;00000000988;ASAS;
Справочник.ПроизводителиНоменклатуры;00000000988;ASAS;
Справочник.ПроизводителиНоменклатуры;00000000988;ASAS;
